n1,n2,n3,n4,n5,n6,in_3456,in_4456,in_plus,count
1,2,3,4,25,43,True,True,True,3
1,2,3,4,25,44,True,True,True,3
1,2,3,4,25,45,True,True,True,3
1,2,3,4,26,27,True,True,True,3
1,2,3,4,26,28,True,True,True,3
1,2,3,4,26,29,True,True,True,3
1,2,3,4,26,30,True,True,True,3
1,2,3,4,26,31,True,True,True,3
1,2,3,4,26,32,True,True,True,3
1,2,3,4,26,33,True,True,True,3
1,2,3,4,26,34,True,True,True,3
1,2,3,4,26,35,True,True,True,3
1,2,3,4,26,36,True,True,True,3
1,2,3,4,26,37,True,True,True,3
1,2,3,4,26,38,True,True,True,3
1,2,3,4,26,39,True,True,True,3
1,2,3,4,26,40,True,True,True,3
1,2,3,4,26,41,True,True,True,3
1,2,3,4,26,42,True,True,True,3
1,2,3,4,26,43,True,True,True,3
1,2,3,4,26,44,True,True,True,3
1,2,3,4,26,45,True,True,True,3
1,2,3,4,27,28,True,True,True,3
1,2,3,4,27,29,True,True,True,3
1,2,3,4,27,30,True,True,True,3
1,2,3,4,27,31,True,True,True,3
1,2,3,4,27,32,True,True,True,3
1,2,3,4,27,33,True,True,True,3
1,2,3,4,27,34,True,True,True,3
1,2,3,4,27,35,True,True,True,3
1,2,3,4,27,36,True,True,True,3
1,2,3,4,27,37,True,True,True,3
1,2,3,4,27,38,True,True,True,3
1,2,3,4,27,39,True,True,True,3
1,2,3,4,27,40,True,True,True,3
1,2,3,4,27,41,True,True,True,3
1,2,3,4,27,42,True,True,True,3
1,2,3,4,27,43,True,True,True,3
1,2,3,4,27,44,True,True,True,3
1,2,3,4,27,45,True,True,True,3
1,2,3,4,28,29,True,True,True,3
1,2,3,4,28,30,True,True,True,3
1,2,3,4,28,31,True,True,True,3
1,2,3,4,28,32,True,True,True,3
1,2,3,4,28,33,True,True,True,3
1,2,3,4,28,34,True,True,True,3
1,2,3,4,28,35,True,True,True,3
1,2,3,4,28,36,True,True,True,3
1,2,3,4,28,37,True,True,True,3
1,2,3,4,28,38,True,True,True,3
1,2,3,4,28,39,True,True,True,3
1,2,3,4,28,40,True,True,True,3
1,2,3,4,28,41,True,True,True,3
1,2,3,4,28,42,True,True,True,3
1,2,3,4,28,43,True,True,True,3
1,2,3,4,28,44,True,True,True,3
1,2,3,4,28,45,True,True,True,3
1,2,3,4,29,30,True,True,True,3
1,2,3,4,29,31,True,True,True,3
1,2,3,4,29,32,True,True,True,3
1,2,3,4,29,33,True,True,True,3
1,2,3,4,29,34,True,True,True,3
1,2,3,4,29,35,True,True,True,3
1,2,3,4,29,36,True,True,True,3
1,2,3,4,29,37,True,True,True,3
1,2,3,4,29,38,True,True,True,3
1,2,3,4,29,39,True,True,True,3
