n1,n2,n3,n4,n5,n6
1,2,3,4,13,20
1,2,3,4,13,21
1,2,3,4,13,22
1,2,3,4,13,23
1,2,3,4,13,24
1,2,3,4,13,25
1,2,3,4,13,26
1,2,3,4,13,27
1,2,3,4,13,28
1,2,3,4,13,29
1,2,3,4,13,30
1,2,3,4,13,31
1,2,3,4,13,32
1,2,3,4,13,33
1,2,3,4,13,34
1,2,3,4,13,35
1,2,3,4,13,36
1,2,3,4,13,37
1,2,3,4,13,38
1,2,3,4,13,39
1,2,3,4,13,40
1,2,3,4,13,41
1,2,3,4,13,42
1,2,3,4,13,43
1,2,3,4,13,44
1,2,3,4,13,45
1,2,3,4,14,15
1,2,3,4,14,16
1,2,3,4,14,17
1,2,3,4,14,18
1,2,3,4,14,19
1,2,3,4,14,20
1,2,3,4,14,21
1,2,3,4,14,22
1,2,3,4,14,23
1,2,3,4,14,24
1,2,3,4,14,25
1,2,3,4,14,26
1,2,3,4,14,27
1,2,3,4,14,28
1,2,3,4,14,29
1,2,3,4,14,30
1,2,3,4,14,31
1,2,3,4,14,32
1,2,3,4,14,33
1,2,3,4,14,34
1,2,3,4,14,35
1,2,3,4,14,36
1,2,3,4,14,37
1,2,3,4,14,38
1,2,3,4,14,39
1,2,3,4,14,40
1,2,3,4,14,41
1,2,3,4,14,42
1,2,3,4,14,43
1,2,3,4,14,44
1,2,3,4,14,45
1,2,3,4,15,16
1,2,3,4,15,17
1,2,3,4,15,18
1,2,3,4,15,19
1,2,3,4,15,20
1,2,3,4,15,21
1,2,3,4,15,22
1,2,3,4,15,23
1,2,3,4,15,24
1,2,3,4,15,25
1,2,3,4,15,26
1,2,3,4,15,27
1,2,3,4,15,28
1,2,3,4,15,29
1,2,3,4,15,30
1,2,3,4,15,31
1,2,3,4,15,32
1,2,3,4,15,33
1,2,3,4,15,34
1,2,3,4,15,35
1,2,3,4,15,36
1,2,3,4,15,37
1,2,3,4,15,38
1,2,3,4,15,39
1,2,3,4,15,40
1,2,3,4,15,41
1,2,3,4,15,42
1,2,3,4,15,43
1,2,3,4,15,44
1,2,3,4,15,45
1,2,3,4,16,17
1,2,3,4,16,18
1,2,3,4,16,19
1,2,3,4,16,20
1,2,3,4,16,21
1,2,3,4,16,22
1,2,3,4,16,23
1,2,3,4,16,24
1,2,3,4,16,25
1,2,3,4,16,26
1,2,3,4,16,27
1,2,3,4,16,28
1,2,3,4,16,29
1,2,3,4,16,30
1,2,3,4,16,31
1,2,3,4,16,32
1,2,3,4,16,33
1,2,3,4,16,34
1,2,3,4,16,35
1,2,3,4,16,36
1,2,3,4,16,37
1,2,3,4,16,38
1,2,3,4,16,39
1,2,3,4,16,40
1,2,3,4,16,41
1,2,3,4,16,42
1,2,3,4,16,43
1,2,3,4,16,44
1,2,3,4,16,45
1,2,3,4,17,18
1,2,3,4,17,19
1,2,3,4,17,20
1,2,3,4,17,21
1,2,3,4,17,22
1,2,3,4,17,23
1,2,3,4,17,24
